,issn,journal_name,pub_name,is_hybrid,category,url
0,1654-9880,Global Health Action,Co-Action Publishing,0.0,Medicine,No Url
1,2278-9480,International Journal of Applied Research & Studies,Other,0.0,Other,No Url
2,1980-5918,Fisioterapia Em Movimento,PontifÔŅĹcia Universidade CatÔŅĹlica do ParanÔŅĹ,0.0,Medicine,http://www.pucpr.br/revfisio
3,1121-760X,European Journal of Histochemistry,Other,0.0,Other,No Url
4,2319-5754,Species,Discovery Publication,0.0,Other,No Url
5,2195-0008,EPJ Nonlinear Biomedical Physics,EDP Sciences,0.0,Medicine,http://www.epj-nbp.org
6,0976-9951,Journal of Horticulture Letters,BioInfo Publications,0.0,Other,No Url
7,2321-1814,HCTL Open International Journal of Technology Innovations and Research,Other,0.0,Other,No Url
8,1256-1269,International Journal of Humanities and Cultural Studies,Other,0.0,Other,No Url
9,2056-6395,European Medical Journal Rheumatology,European Medical Journal,0.0,Medicine,http://emjreviews.com/therapeutic-area/rheumatology/
10,2016-7124,International Journal of Innovative Computer Science & Engineering,Other,0.0,Other,No Url
11,1312-773X,Journal of IMAB : Annual Proceeding (Scientific Papers) ,"Peytchinski, Gospodin Iliev",0.0,Medicine,http://www.journal-imab-bg.org/
12,1867-383X,Environmental Economics and Policy Studies,Springer,1.0,Other,No Url
13,2051-3380,Respirology Case Reports,Wiley,0.0,Medicine,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)2051-3380
14,1559-7075,Techtrends,Springer,1.0,Other,No Url
15,2456-0561,ARC Journal of Gynecology and Obstetrics,AcademiciansÔŅĹ Research Center (ARC),0.0,Other,No Url
16,2327-7084,Journal of Case Studies in Education,Academic and Business Research Institute,0.0,Other,No Url
17,2363-5169,Asian-Pacific Journal of Second and Foreign Language Education,Springer,0.0,Other,No Url
18,1468-6996,Science and Technology of Advanced Materials,Other,0.0,Other,No Url
19,2180-4249,Tropical Life Sciences Research ,Universiti Sains Malaysia Press ,0.0,Science,http://www.tlsr.usm.my/
20,2358-3193,Revista Brasileira De EducaÔŅĹÔŅĹo Em CiÔŅĹncia Da InformaÔŅĹÔŅĹo,AssociaÔŅĹÔŅĹo Brasileira de EducaÔŅĹÔŅĹo em CiÔŅĹncia da InformaÔŅĹÔŅĹo,0.0,Education,http://www.abecin.org.br/revista/index.php/rebecin
21,0029-3571,Northwestern University Law Review,Self Owned - Non-Profit Society,0.0,Law,No Url
22,1734-6460,Oncology in Clinical Practice,VM Media sp. z o.o. VM Group sp.k.,0.0,Medicine,https://journals.viamedica.pl/oncology_in_clinical_practice/index
23,1139-7241,Iberica,Other,0.0,Other,No Url
24,2248-311X,Porcine Research,Bioflux,0.0,Agriculture,http://www.porc.bioflux.com.ro/
25,2377-276X,International Journal of Mechanics and Systems Engineering,American V-King Scientific Publishing,0.0,Other,No Url
26,1920-7298,"International Journal of Child, Youth & Family Studies",University of Victoria,0.0,Social Sciences,http://journals.uvic.ca/index.php/ijcyfs
27,2287-0113,Anti-Trafficking Review,Global Alliance Against Traffic in Women,0.0,General Works,http://www.antitraffickingreview.org
28,2394-2975,International Journal of Advanced Research in Education & Technology,Other,0.0,Other,No Url
29,2090-1860,Neurology Research International,Hindawi Publishing Corporation,0.0,Medicine,https://www.hindawi.com/journals/nri/
30,2374-5509,Current Advances in Energy Research,American V-King Scientific Publishing,0.0,Other,No Url
31,2182-2891,EtnogrÔŅĹfica: Revista Do Centro Em Rede De InvestigaÔŅĹÔŅĹo Em Antropologia,Centro em Rede de InvestigaÔŅĹÔŅĹo em Antropologia,0.0,Geography. Anthropology. Recreation,http://etnografica.revues.org
32,2079-6382,Antibiotics,MDPI AG,0.0,Medicine,http://www.mdpi.com/journal/antibiotics
33,1982-4343,Varia HistÔŅĹria,Universidade Federal de Minas Gerais,0.0,History (General) and history of Europe,http://www.scielo.br/scielo.php?script=sci_serial&pid=0104-8775&lng=en&nrm=iso
34,1874-3641,The Open Ophthalmology Journal,Bentham Open,0.0,Other,No Url
35,2090-6757,Case Reports in Orthopedics,Hindawi Publishing Corporation,0.0,Medicine,https://www.hindawi.com/journals/crior/
36,1941-3416,Journal of Technology ResearchÔŅĹ,Academic and Business Research Institute,0.0,Other,No Url
37,1440-1681,Clinical Case Reports,Wiley,0.0,Other,No Url
38,2331-4125,Advances in Social Work,Indiana University School of Social Work,0.0,Social Sciences,http://journals.iupui.edu/index.php/advancesinsocialwork 
39,2168-670X,Journal of Family Strengths,Children at Risk Institute,0.0,Social Sciences,http://digitalcommons.library.tmc.edu/jfs/
40,1573-7497,Applied Intelligence,Springer,1.0,Other,No Url
41,1573-4897,Applied Composite Materials,Springer,1.0,Other,No Url
42,2195-478X,Geothermal Energy Science,Copernicus Publications,0.0,Technology,http://www.geothermal-energy-science.net/
43,1935-3820,Swarm Intelligence,Springer,1.0,Other,No Url
44,1573-515X,Biogeochemistry,Springer,1.0,Other,No Url
45,2420-8469,Antropologia,Ledizioni,0.0,Geography. Anthropology. Recreation,http://www.ledijournals.com/ojs/index.php/antropologia
46,1438-8871,Journal of Medical Internet Research,JMIR Publications,0.0,Medicine,No Url
47,1617-7940,Biomechanics and Modeling in Mechanobiology,Springer,1.0,Other,No Url
48,0042-790X,Journal of Hydrology and Hydromechanics,Other,0.0,Other,No Url
49,1988-2408,"Arte, Individuo Y Sociedad",Universidad Complutense de Madrid,0.0,Fine Arts,http://revistas.ucm.es/index.php/ARIS/
50,1989-2209,European Journal of Education and Psychology,CENFINT,0.0,Education,http://www.ejep.es
51,1804-5006,Business and Economic Horizons,Prague Development Center,0.0,Social Sciences,http://academicpublishingplatforms.com/journal.php?journal=BEH
