,id,price,date_stamp,journal_id
0,8691,1400.0,2016-08-11,2051-5960
1,8692,2175.0,2016-08-11,1758-9193
2,8693,2145.0,2016-08-11,1476-0711
3,8694,2145.0,2016-08-11,2047-2994
4,8695,2145.0,2016-08-11,1744-9081
5,8696,2450.0,2016-08-11,1480-9222
6,8697,2450.0,2016-08-11,2042-6410
7,8698,2255.0,2016-08-11,2050-7771
8,8699,2145.0,2016-08-11,1471-2407
9,8700,2145.0,2016-08-11,1471-2172
10,8701,2145.0,2016-08-11,1471-2350
11,8702,2145.0,2016-08-11,1755-8794
12,8703,2145.0,2016-08-11,1471-2202
13,8704,2145.0,2016-08-11,2050-6511
14,8705,2145.0,2016-08-11,1472-6793
15,8706,1290.0,2016-08-11,1756-0500
16,8707,2910.0,2016-08-11,1465-542X
17,8708,2450.0,2016-08-11,2049-3002
18,8709,2300.0,2016-08-11,1475-2867
19,8710,1261.1475594405597,2016-08-11,1944-446X
20,8711,2450.0,2016-08-11,1868-7083
21,8712,2145.0,2016-08-11,2045-3329
22,8713,2240.0,2016-08-11,1878-5085
23,8714,2145.0,2016-08-11,2040-7378
24,8715,2145.0,2016-08-11,2046-7648
25,8716,2450.0,2016-08-11,2044-7248
26,8717,2145.0,2016-08-11,2045-8118
27,8718,2145.0,2016-08-11,1865-3499
28,8719,1261.1475594405597,2016-08-11,1880-7062
29,8720,2785.0,2016-08-11,1756-994X
30,8721,2145.0,2016-08-11,1897-4287
31,8722,2450.0,2016-08-11,1479-7364
32,8723,2145.0,2016-08-11,1742-4933
33,8724,2145.0,2016-08-11,1750-9378
34,8725,1261.1475594405597,2016-08-11,1423-0127
35,8726,2300.0,2016-08-11,1476-9255
36,8727,2145.0,2016-08-11,1477-5751
37,8728,2450.0,2016-08-11,1866-1955
38,8729,2240.0,2016-08-11,1743-0003
39,8730,2450.0,2016-08-11,1742-2094
40,8731,2220.0,2016-08-11,2055-0294
41,8732,1565.0,2016-08-11,1880-6805
42,8733,2145.0,2016-08-11,1479-5876
43,8734,2145.0,2016-08-11,1678-9199
44,8735,2240.0,2016-08-11,1475-2875
45,8736,2450.0,2016-08-11,2049-2618
46,8737,2145.0,2016-08-11,1759-8753
47,8738,1980.0,2016-08-11,1756-6606
48,8739,2145.0,2016-08-11,1476-4598
49,8740,2145.0,2016-08-11,1755-8166
50,8741,2580.0,2016-08-11,1750-1326
51,8742,2145.0,2016-08-11,1749-8104
52,8743,2145.0,2016-08-11,1756-3305
53,8744,2145.0,2016-08-11,1743-8977
54,8745,2145.0,2016-08-11,1748-717X
55,8746,2450.0,2016-08-11,1742-4690
56,8747,2145.0,2016-08-11,1742-4682
57,8748,2145.0,2016-08-11,2047-9158
58,8749,2145.0,2016-08-11,1743-422X
59,8750,2450.0,2016-08-11,1754-6834
60,8751,2145.0,2016-08-11,1472-6750
61,8752,2145.0,2016-08-11,1477-3155
62,8753,2145.0,2016-08-11,1475-2859
63,8754,2145.0,2016-08-11,1472-6831
64,8755,2145.0,2016-08-11,1472-6920
65,8756,2145.0,2016-08-11,1475-925X
66,8757,2240.0,2016-08-11,1754-1611
67,8758,2300.0,2016-08-11,2047-2382
68,8759,2220.0,2016-08-11,1476-069X
69,8760,1175.0,2016-08-11,1755-2672
70,8761,2450.0,2016-08-11,2048-7010
71,8762,2145.0,2016-08-11,1748-7188
72,8763,2450.0,2016-08-11,2050-3385
73,8764,1261.1475594405597,2016-08-11,2053-7166
74,8765,2145.0,2016-08-11,1756-0381
75,8766,2240.0,2016-08-11,0717-6287
76,8767,2145.0,2016-08-11,1745-6150
77,8768,2145.0,2016-08-11,1471-2091
78,8769,2145.0,2016-08-11,1471-2105
79,8770,2785.0,2016-08-11,1741-7007
80,8771,2145.0,2016-08-11,1471-2121
81,8772,2145.0,2016-08-11,1471-213X
82,8773,2145.0,2016-08-11,1472-6785
83,8774,2145.0,2016-08-11,1471-2148
84,8775,2145.0,2016-08-11,1471-2156
85,8776,2145.0,2016-08-11,1471-2164
86,8777,2145.0,2016-08-11,1471-2180
87,8778,2145.0,2016-08-11,1471-2199
88,8779,2145.0,2016-08-11,1471-2229
89,8780,2145.0,2016-08-11,1472-6807
90,8781,2145.0,2016-08-11,1752-0509
91,8782,2145.0,2016-08-11,2056-3132
92,8783,2145.0,2016-08-11,2052-6687
93,8784,2145.0,2016-08-11,2045-3701
94,8785,2450.0,2016-08-11,1478-811X
95,8786,2300.0,2016-08-11,1747-1028
96,8787,1261.1475594405597,2016-08-11,2045-9769
97,8788,2615.0,2016-08-11,1689-1392
98,8789,2145.0,2016-08-11,2053-8871
99,8790,2450.0,2016-08-11,2046-2530
100,8791,2145.0,2016-08-11,2053-7565
101,8792,2145.0,2016-08-11,1559-0275
102,8793,2450.0,2016-08-11,1756-8935
103,8794,2450.0,2016-08-11,2041-9139
104,8795,1261.1475594405597,2016-08-11,2398-0060
105,8796,2145.0,2016-08-11,2234-1757
106,8797,2365.0,2016-08-11,1742-9994
107,8798,2145.0,2016-08-11,2054-3085
108,8799,1800.0,2016-08-11,1297-9686
109,8800,2975.0,2016-08-11,1474-760X
110,8801,2050.0,2016-08-11,2047-217X
111,8802,1261.1475594405597,2016-08-11,1438-3888
112,8803,2145.0,2016-08-11,1601-5223
113,8804,1261.1475594405597,2016-08-11,2055-0391
114,8805,2365.0,2016-08-11,2241-5793
115,8806,2145.0,2016-08-11,1476-511X
116,8807,2145.0,2016-08-11,2051-3933
117,8808,2240.0,2016-08-11,1746-4811
118,8809,2145.0,2016-08-11,1477-5956
119,8810,1760.0,2016-08-11,0717-6317
120,8811,2450.0,2016-08-11,2044-5040
121,8812,2145.0,2016-08-11,1751-0473
122,8813,2145.0,2016-08-11,1944-3277
123,8814,2175.0,2016-08-11,1757-6512
124,8815,1261.1475594405597,2016-08-11,2056-306X
125,8816,1890.0,2016-08-11,2055-7124
